timestamp,metric,value,instance_type
2025-04-06 19:33:42,node_instance_type,ip-10-0-9-5.ec2.internal,spot
2025-04-06 19:33:42,node_status,Ready,spot
2025-04-06 19:33:42,node_age,13m,spot
2025-04-06 19:33:52,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:33:53,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:34:58,current_node_count,7,N/A
2025-04-06 19:34:58,pending_pods,0,N/A
2025-04-06 19:34:58,running_pods,30,N/A
2025-04-06 19:35:07,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:35:08,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:36:14,current_node_count,7,N/A
2025-04-06 19:36:14,pending_pods,0,N/A
2025-04-06 19:36:14,running_pods,30,N/A
2025-04-06 19:36:23,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:36:24,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:37:29,current_node_count,7,N/A
2025-04-06 19:37:29,pending_pods,0,N/A
2025-04-06 19:37:29,running_pods,30,N/A
2025-04-06 19:37:39,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:37:40,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:38:45,current_node_count,7,N/A
2025-04-06 19:38:45,pending_pods,0,N/A
2025-04-06 19:38:45,running_pods,30,N/A
2025-04-06 19:38:55,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:38:56,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:40:01,current_node_count,7,N/A
2025-04-06 19:40:01,pending_pods,0,N/A
2025-04-06 19:40:01,running_pods,30,N/A
2025-04-06 19:40:10,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:40:11,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:41:13,scale_up_duration_seconds,1329,N/A
2025-04-06 19:41:13,max_node_count,7,N/A
2025-04-06 19:41:13,scale_down_start_time,1743979273,N/A
2025-04-06 19:41:14,target_replicas,1,N/A
2025-04-06 19:41:17,current_node_count,7,N/A
2025-04-06 19:41:18,pending_pods,0,N/A
2025-04-06 19:41:18,running_pods,0,N/A
2025-04-06 19:41:27,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:41:28,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:42:33,current_node_count,7,N/A
2025-04-06 19:42:33,pending_pods,0,N/A
2025-04-06 19:42:33,running_pods,0,N/A
2025-04-06 19:42:42,karpenter_nodes_provisioned,0,N/A
